Name,Latitude,Longitude,Address
310695222,19.7743601,-70.4928669,Coastal
312684454,19.7530411,-70.4168105,Esso
312684533,19.6699806,-70.3701371,Isla
312684534,19.7424855,-70.3935894,Texaco
312684566,19.6407957,-70.0740659,Isla bomba
312684683,19.6264123,-69.9013785,Petromóvil
314447133,18.4542133,-69.6061109,Total
332793409,19.7373588,-70.6030628,Total
348105533,19.4757046,-70.8059857,Nativa
348118520,19.4521312,-70.7587298,Texaco
348118924,19.4514688,-70.7671759,Estación ISLA
351954273,19.763538,-70.5142094,Texaco
352761342,19.4959241,-70.6525401,Texaco
354492786,19.7835931,-70.6793952,Texaco
354618566,19.7936106,-70.7101385,Total
363797018,19.7475825,-70.5375762,Shell
375727702,18.2354101,-72.5206219,N/A
375734719,18.4548344,-72.633856,N/A
375734729,18.5062461,-72.62413,National
375734737,18.5166602,-72.6038867,N/A
375734751,18.5419138,-72.4368796,N/A
375734756,18.5311396,-72.359859,N/A
375734801,18.5369888,-72.3361417,N/A
375734852,18.5508994,-72.2430712,Nationale
375734856,18.5765538,-72.2629275,N/A
382507119,18.7364737,-72.4169677,Texaco
382507124,18.7352339,-72.4046605,N/A
597465512,19.6620958,-70.8298221,Petronan
597466116,19.5376344,-70.7905982,Suple Gas
598141684,19.796208,-70.7147793,Texaco
598146716,19.8244856,-70.7444991,Propa Gas
598146998,19.8199676,-70.7777011,Terra Gas
598147451,19.7583977,-70.8340294,Texaco
615711270,18.5112193,-72.6133304,N/A
616838836,18.5060948,-72.6279591,Esso
616838846,18.5058834,-72.6259256,Texaco
616872515,18.1979267,-73.7496879,Total
616941260,18.250926,-72.5456455,Texaco
618311142,18.574975,-72.2974923,N/A
618311143,18.5758004,-72.2870441,N/A
618406520,18.582114,-72.2418017,Ophélia
618406521,18.5830473,-72.239674,National
618414887,18.5883171,-72.2465149,TOTAL
618414895,18.5935878,-72.2531875,Sol
618415508,18.5674589,-72.3109351,National
618427686,18.57855,-72.3147282,Total
618427687,18.5812658,-72.3096616,N/A
618427690,18.5883358,-72.2939897,Sol
618431899,18.5609589,-72.3382569,N/A
618435257,18.5565288,-72.3410372,N/A
619626005,18.2070213,-73.7582895,National
620136976,18.5333444,-72.3245944,National
620151597,18.5327877,-72.3649313,N/A
620546459,18.5598334,-72.3371055,N/A
620822731,18.7158864,-72.3646161,N/A
623794330,18.5156888,-72.2841083,National
623797058,18.5622104,-72.2914991,N/A
623797059,18.5635799,-72.2901919,N/A
623805856,18.5382812,-72.2952801,N/A
627026024,18.5394421,-72.2884838,N/A
629499925,18.4993806,-72.3183045,N/A
629499931,18.498955,-72.3169089,National
629538603,18.5659239,-72.31288,N/A
638363528,18.5331076,-72.3248802,N/A
638363533,18.5461568,-72.3171671,N/A
640963847,18.6351412,-72.2667592,N/A
643131803,18.5164607,-72.291902,N/A
654105701,18.5337403,-72.3337719,National
835972197,18.3861444,-72.5903951,Total
931437285,18.4867444,-69.9417641,Gasolina Texaco
950538253,18.5281372,-72.2735067,Total
956842250,18.5225931,-72.2797397,National
986198572,18.9495106,-72.7037774,Gas Station
986198581,18.9579849,-72.7164342,Stop Over
996392991,18.5332201,-72.3285421,Sol Babiole
1032477770,18.2962906,-73.6527461,N/A
1044653157,18.2047422,-73.7617223,N/A
1044653168,18.2041542,-73.7628236,N/A
1067631165,18.298953,-73.340057,Station Texaco Dieu y pourvoira
1070008273,18.3062102,-73.3266534,N/A
1070008843,18.2833672,-73.3926575,N/A
1074920911,18.42868,-73.0800777,N/A
1075397628,18.5819527,-74.2155728,N/A
1075974407,18.4201425,-72.9253953,N/A
1080579056,18.5184009,-72.2917087,Total
1080579077,18.5179253,-72.2907619,National
1088604519,19.1676936,-72.5996274,N/A
1088604525,19.1520956,-72.6460509,N/A
1088604890,18.7357695,-72.4044997,Total
1088604976,19.1223002,-72.6984746,sol
1088605026,18.8488062,-72.5844705,total
1088605040,18.8393808,-72.571861,N/A
1088605060,18.7367121,-72.4169312,Total
1088605235,18.7995089,-72.5136642,national
1088712346,18.4329857,-73.0794214,Total Miragoane
1105491532,18.2316083,-72.3246646,N/A
1105491824,18.2304195,-72.3940161,N/A
1106852047,19.1305974,-72.4854638,N/A
1107747597,18.27307,-72.5654044,N/A
1107747727,18.5313389,-72.5516828,N/A
1107795001,19.0524889,-72.4652505,N/A
1108073875,18.2394699,-72.5404617,N/A
1108073900,18.2388613,-72.5406493,N/A
1108337981,19.4853854,-72.6559002,station gaz
1108338529,19.6629205,-72.673227,N/A
1109624258,18.5518309,-72.3165232,Sol
1126856105,18.2374056,-72.5373485,national
1134655643,18.2357968,-72.5203369,N/A
1144541656,18.4518514,-72.6353161,N/A
1158033548,18.2299008,-72.399214,N/A
1159831027,19.4612758,-72.6917621,station gaz de k-soleil
1167074708,18.2315783,-72.3247874,gaz national
1171581656,19.4457972,-72.6890191,Stattion gaz
1171583244,19.4507875,-72.6847661,Nationale
1171587293,19.4518984,-72.6835301,Gaz propane
1179396251,18.5778751,-72.2316991,Nationale
1191352430,18.5813331,-72.2273365,gaz Staion GO
1202939013,18.5332892,-72.291313,National
1207642897,18.5337662,-72.3186158,N/A
1207642968,18.5402086,-72.3258906,N/A
1240013527,18.6847187,-68.4527917,Texaco Gasolina
1240019421,18.5992121,-68.4192788,Estación Combustible ESSO
1240818132,18.5396415,-72.3323227,Sol
1242654911,18.5399859,-72.3324864,National
1259953262,18.194118,-71.0868867,Isla Gasolina
1268256592,18.6460093,-74.1147523,N/A
1273018267,18.5430639,-72.3317957,N/A
1304146690,19.7817544,-70.672351,Shell
1307815550,18.2278459,-72.4226081,N/A
1315816827,18.5603806,-72.3184408,Sol
1315816847,18.5552955,-72.314517,National
1414756982,19.4762698,-70.8029065,Rozon Gas
1422682031,18.5712307,-72.2907156,Total
1427537111,18.585075,-72.2737556,N/A
1449499439,18.5497577,-72.3088703,National
1449499440,18.5497719,-72.3122618,National
