Name,Address,Latitude,Longitude,Place ID
Estación Texaco,"F2PC+JR9, Santo Domingo",18.4865284,-69.9778824,ChIJgy7uuxSKr44RCwc7QKNFjK8
Trans-Caribbean Diesel TDC,"Avenida Monumental 12, Santo Domingo",18.5032568,-69.9897907,ChIJd3ViREWKr44RaW3Dbem2D5A
Shell,"Sol Poniente, Calle Republica de Colombia, Santo Domingo",18.5007865,-69.9588354,ChIJfSelhCiKr44RQA0uPg2qWgM
TotalEnergies Ciudad Modelo,"Avenida Presidente Jacobo Majluta Azar, Santo Domingo",18.5544668,-69.94372489999999,ChIJmxpEo1KJr44RbszRS5mJCoA
Petromovil,"Autopista Juan Pablo Duarte, Pedro Brand",18.5891339,-70.12496159999999,ChIJ293Wq-3zr44RwpbHlRkxdRg
Texaco,"WJR3+FPP, Calle San Lorenzo de los Santos, Bonao",18.9412213,-70.3956769,ChIJVVaNXxffr44R63-v5av8fcY
Sigma,"HW88+8JF, Pedro Brand",18.5658111,-70.0834528,ChIJZ0BUj5z0r44ROcqNJkI5xR4
Tropigas Don Juan,R2FX+3MH,18.8226793,-69.9507701,ChIJp9_ZNAGWr44Rs9sfiUYjrtU
Propagas,"GXH3+G34, Santo Domingo",18.5287744,-70.0472905,ChIJS_9lXyyLr44RkmJL8MdfzhU
Cooperativa La Noel,"G2C6+X82, Santo Domingo",18.5223827,-69.98922139999999,ChIJWVdwv7GLr44RZwsOTSB3bYs
TotalEnergies Jacobo,"Av. Jacobo Majluta Azar Km. 8, 1/2 Esq, Santo Domingo",18.5565779,-69.9385909,ChIJ2YzEarOOr44RuatF3ZBnhxM
TotalEnergies Los Amapolos,"Calle Duarte 34, Bonao",18.9468756,-70.4097146,ChIJu89Zg2rfr44R8CQrXBluf_s
"WENI GAS, Bonao II","Autopista Duarte KM 81, Bonao",18.9315276,-70.38677369999999,ChIJi2FpHgPfr44Rg3fQyeA7MBM
Sigma Alameda II,"Prolongación Avenida 27 de Febrero, Santo Domingo",18.4889077,-69.9995982,ChIJsfeNgmGKr44Rgq4zKT6quag
Estación de Combustibles Nativa,"Carretera Villa Mella-Yamasa 511, Santo Domingo",18.5661588,-69.909178,ChIJpYqdZtiOr44RuqKttqhR7xU
"Coopegas, Cotui","calle mella 2, sanchez ramirez, cotui, Cotuí",19.032674,-70.14871699999999,ChIJJZ3TglXPr44RwFsX0JF6SDo
"Petromovil, Los Ríos","Avenida Santo Cerro 14, Santo Domingo",18.4925868,-69.97637689999999,ChIJxWgxrT-Kr44RkelB3sjtU5Q
TotalEnergies Guaricano,"Avenida Emma Balaguer, Santo Domingo",18.5326368,-69.9247146,ChIJl33u2j2Jr44RUwSEVYXIuXY
Ecopetróleo La Toma,"CVMF+298, San Cristóbal",18.4325342,-70.1265576,ChIJo_xxFNxepY4RzLAbLf9deao
Coopegas,"calle pedro abreu 26, bayona, santo domingo oeste",18.467523,-70.008982,ChIJIXp5XilgpY4RKDzvxYfOqAI
Gas Station Total,"Avenida Los Beisbolistas Manoguayabo Esq, Carretera Duarte Vieja 20, Santo Domingo",18.4835304,-69.9809186,ChIJSS3P5WyKr44R0RK2EfeygUQ
Estacion de Combustibles EcoProvincial,"WJW2+6C7, Bonao",18.9455349,-70.39896759999999,ChIJMYGvLhbfr44R9csIvJaSubw
Shell,"Avenida John F. Kennedy, Santo Domingo",18.4798686,-69.9616017,ChIJYTNMYRuKr44RBXaDdQsK5WY
Ecopetróleo,"Ramon Matias Mella, 28",18.5539526,-69.8991064,ChIJ-UAjUCyPr44RJHUv-vVK4lU
Envasadora de Gas Onegas Villas Agricolas,"Calle San Juan De la Maguana #98, Santo Domingo",18.5012973,-69.9137317,ChIJ20Z_U6mJr44RL__wCSuw8pA
Estacion Texaco,"Avenida 27 de Febrero 454, Santo Domingo",18.4625418,-69.99324399999999,ChIJ9c3x5NBhpY4R5BBRgiE_IYA
TotalEnergies Tiradentes,"Avenida Tiradentes 49, Santo Domingo",18.4712378,-69.925242,ChIJiQrog9yJr44ReTDW-__BIrg
The Credigas 17,"F4W3+7R9, Av. Padre Castellanos (Ant. 17), Santo Domingo",18.495658,-69.89538399999999,ChIJNcSehFqIr44Rz6ldN_7ntWM
EcoPetróleo Cescor Haina,"CXP8+747, Bajos de Haina",18.4356594,-70.0347147,ChIJv2KZemRgpY4RnlqaWvbOP4Y
Shell Gasoline Estación,"Avenida José Ortega y Gasset, Santo Domingo",18.4913865,-69.92163769999999,ChIJRYROLrqJr44RUXppFvk6Re4
